Name of Unit,Type of Unit,Location,Barangay,Coordinates,Monthly Rental,Internet Availability,Pet-Friendly,Accessible,Furnished,Air Conditioning,Secure Location (Gated/CCTV),Parking,Occupancy Restriction,Payment Policy,Lease / Contract,Link,Notes
1SOLO ROOM,Boarding house,Dumaguete,Bantayan,"9.329639801879502, 123.30503329241597",4000,N/A,N/A,Yes,Yes,N/A,Yes,N/A,Female,"1 month advance, 2 months deposit",6-12 months,"DUMAGUETE CITY HOUSE FOR RENT, BOARDING HOUSE , APARTMENTS, TRANSIENT,HOTEL | 1SOLO ROOM AVAILABLE for FEMALE | Facebook",Allowed to cook and do laundry. No curfew.
Unit 10,Apartment,Dumaguete,Calindagan,"9.298555745031136, 123.30829997213651",20000,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Co-ed,"1 month advance, 1 month deposit",6-12 months,https://www.facebook.com/100013733353516/posts/pfbid026qdoXC6ZvqEwbBp43gMMKAzATgzxXaR34zgFDrGWTVajTYzyx18bsxJVsNHp6DQjl/,"2 Bedrooms, 1 Bathroom."
House4Rent,House for Rent,Dumaguete,N/A,"9.31708841617916, 123.2957205032766",23000,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Co-ed,"1 month advance, 2 months deposit",12 months,https://www.facebook.com/groups/962483824619334/permalink/1901594144041626/,With water tank. 3 Bedrooms (2 rooms with A/C).
Bedspace4Rent,Bed space,Dumaguete,Piapi,"9.31963749303219, 123.30839766649427",3500,Yes,N/A,Yes,Yes,No,N/A,N/A,Co-ed,"1 month advance, 1 month deposit",12 months,Dumaguete Transient Apartment/House | 👉👉👉BEDSPACE FOR RENT | Facebook,"Allowed to cook and do laundry. No curfew. Shared CR & Kitchen. 2 bunk beds in one room. Visitors allowed but no overnight stay. Free wifi, electricity, water."
House4Rent,House for Rent,Dumaguete,N/A,"9.30700918332745, 123.30558610410338",25000,N/A,Yes,No,Yes,Yes,N/A,Yes,Co-ed,"1 month advance, 1 month deposit",12 months,https://www.facebook.com/groups/962483824619334/permalink/1898834324317608/,"2 Bedrooms, 1 Bathroom with hot shower."
BrandNew HOUSE FOR RENT (Semi-Furnished),House for Rent,Sibulan,Tubtubon,"9.349651753819536, 123.28041326464573",10000,N/A,N/A,Yes,Yes,Yes,Yes,N/A,Co-ed,"1 month advance, 1 month deposit",12 months,https://www.facebook.com/100000849588588/posts/pfbid02YQ3u6o2kaf4HZVFjQxLeNTsmhaYXWTZpPc1kzyPcNntq8udQPbpSPxDV1onQkWG7l/, Bungalow type no room partition. 1 toilet and batroom.
B6 - Studio Unit,Apartment,Dumaguete,Buñao,"9.328618952130288, 123.29080774657113",10000,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Co-ed,"1 month advance, 1 month deposit",6-12 months,https://www.facebook.com/100076604544290/posts/pfbid02Hb1GGKCqYV4rPz4p55kJkukJUEp7Yko56Li5pXpHDJ6W3fMP1jhBBQYisfGSc1y3l/,With a personal refrigerator and a rice cooker.
Spacious Room,Apartment,Dumaguete,Daro,"9.316824170237668, 123.30093654907287","9,000-10,000",Yes,N/A,Yes,No,Yes,Yes,N/A,Co-ed,"No advance, 1 month deposit",N/A,https://www.facebook.com/100063914051122/posts/pfbid02SForhQ1DkwWzbezC5wZmCs5R2XF1Czf1Gfn5CDswXJkHzRuGzRQ9rask5JdtDZZbl/,"1 person (9,000). 2 persons (10,000). No curfew"
3 bedroom Apartment for Rent,Apartment,Dumaguete,Bagacay,"9.299464616007134, 123.29342532095615",20000,No,N/A,Yes,No,No,N/A,N/A,Co-ed,"1 month advance, 2 months deposit",12 months,https://www.facebook.com/groups/555377135539267/permalink/1417162096027429/,"3 Bedrooms, 2 Bathrooms."
STUDIO TYPE ROOM FOR RENT!,Apartment,Dumaguete,Bagacay,"9.299464616007134, 123.29342532095615",5500,N/A,No,No,Yes,No,N/A,Yes,Co-ed,"No advance, 1 month deposit",6-12 months,https://www.facebook.com/groups/962483824619334/posts/1902391393961901/?mibextid=rS40aB7S9Ucbxw6v,Good for 2 persons. 120 pesos per head for water. Visitors up to 10pm only. Children are not allowed
ROOM FOR RENT! (Good for 2-3 Persons),Bed space,Dumaguete,Camanjac,"9.325000574283198, 123.27129818084425","2,200-7,000",Yes,N/A,Yes,Yes,No,No,Yes,Co-ed,"1 month advance, 1 month deposit",Accepting long-term/short term or transient minimum 5 days,https://www.facebook.com/groups/962483824619334/posts/1902272893973751/?mibextid=rS40aB7S9Ucbxw6v,"4 persons (2,200).  2-3 persons/whole room (7,000). No curfew, visitors allowed. Allowed to cook and do laundry."
ROOM  FOR RENT,Boarding house,Dumaguete,Banilad,"9.264240224632012, 123.29338219166125","3,000-4,000",Yes,N/A,Yes,Yes,No,N/A,Yes,Co-ed,"1 month advance, 1 month deposit",6-12 months,https://www.facebook.com/groups/962483824619334/posts/1888474165353624/?mibextid=rS40aB7S9Ucbxw6v,"1 person (3,000). 2 persons (4,000).  Allowed to cook and do laundry. No curfew. Visitors allowed."
𝐇𝐨𝐮𝐬𝐞 𝐟𝐨𝐫 𝐑𝐞𝐧𝐭,House for Rent,Dumaguete,Batinguel,"9.319117648269396, 123.28135010697434",20000,No,N/A,No,Yes,Yes,Yes,N/A,Co-ed,N/A,N/A,https://www.facebook.com/RoseBeranio7/posts/%F0%9D%90%87%F0%9D%90%A8%F0%9D%90%AE%F0%9D%90%AC%F0%9D%90%9E-%F0%9D%90%9F%F0%9D%90%A8%F0%9D%90%AB-%F0%9D%90%91%F0%9D%90%9E%F0%9D%90%A7%F0%9D%90%AD-rate-php-20k-location-azumi-phase-2-batinguel-dumaguete-cityfeatu/805962782022573/,2 story house with balcony.  With 1KW on-grid solar system (energy-saving!)
Apartment for rent,Apartment,Valencia,Bong-bong,"9.269311138309863, 123.22788087679484",10000,N/A,N/A,Yes,No,No,No,Yes,Co-ed,N/A,N/A,https://www.facebook.com/marketplace/item/739534681979104/,"2 Bedrooms, 1 Bathroom, 1 sala with kitchen, 1 open garage."
Apartment for rent,Apartment,Valencia,West Balabag,"9.292637213462688, 123.24677271036508",4000,No,N/A,Yes,No,No,N/A,N/A,Co-ed,"No advance, no deposit",N/A,https://www.facebook.com/marketplace/item/2019834805086990/,"Free water and electric. 1 Bathroom, 1 kitchen."
Unit 6,Apartment,Dumaguete,Calindagan,"9.298555745031136, 123.30829997213651",18000,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Co-ed,"1 month advance, 1 month deposit",6-12 months,https://www.facebook.com/marketplace/item/1272216357955521/,"2 Bedrooms, 1 Bathroom."
House for rent in east balabag valencia,House for Rent,Valencia,East Balabag,"9.290150580929053, 123.25629966312141",25000,No,N/A,No,Yes,Yes,Yes,Yes,Co-ed,N/A,12 months,https://www.facebook.com/marketplace/item/1020806366674735/,2 Bedrooms with bathrooms each. One separate maid's quarters with bedroom and bathroom.
Room for Rent,Boarding house,Dumaguete,Bagacay,"9.301365807157755, 123.29361378366066",3200,Yes,N/A,Yes,Yes,No,N/A,Yes,Co-ed,"1 month advance, 1 month deposit",N/A,https://www.facebook.com/marketplace/item/2786518931532096/,"3,200 is good for two people. Shared bathroom and kitchen."
For rent: 1bedroom apartment,Apartment,Sibulan,Magatas,"9.341943396272054, 123.27274681969449",5000,N/A,No,Yes,No,No,Yes,Yes,Co-ed,"1 month advance, 1 month deposit",6-12 months,https://www.facebook.com/marketplace/item/2622441208100054/,Maximum 3 persons. Parking for motorcycle only. 
Studio for rent,Apartment,Sibulan,Maslog,"9.342832890739205, 123.29506798244655",9500,No,No,Yes,No,No,Yes,N/A,Co-ed,N/A,N/A,https://www.facebook.com/marketplace/item/537009302607736/,"Estanzia Subdivision, Block 3 Lot 6. Own electric and water submeters."
Fully furnished apartment FOR RENT,Apartment,Dumaguete,Bagacay,"9.293452638249343, 123.29439140576574",15000,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Co-ed,N/A,N/A,https://www.facebook.com/marketplace/item/24584278834492256/,"2 Bedrooms, 1 Bathroom."
Apartment For Rent,Apartment,Dumaguete,Northern Junob,"9.30795811622356, 123.28118741482493","15,000-25,000",No,N/A,No,No,Yes,Yes,Yes,Co-ed,N/A,N/A,https://www.facebook.com/marketplace/item/1846204532959606/,"2 units (25,000) - 2 bedrooms with hot shower bathrooms each. 2 units (15,000) - 1 bedroom, 1 hot shower bathroom."
Room for Rent,Boarding house,Sibulan,Tubtubon,"9.345191547761102, 123.27851120736449",6000,Yes,N/A,No,Yes,No,N/A,Yes,Co-ed,"1 month advance, 1 month deposit",N/A,https://www.facebook.com/marketplace/item/1112340167539865/,Preference: single young professionals. Allowed to cook. No curfew.
1 room for rent,Boarding house,Dumaguete,Bantayan,"9.32689665899374, 123.30226517784264",7500,N/A,N/A,Yes,Yes,Yes,N/A,N/A,Co-ed,N/A,N/A,https://www.facebook.com/marketplace/item/1299803541867697/,1 doubledeck bed with 2 single type mattress
Room for rent,Boarding house,Dumaguete,Bagacay,"9.299549318630389, 123.29383301670705",4300,Yes,N/A,N/A,Yes,No,Yes,N/A,Co-ed,"1 month advance, 1 month deposit",N/A,https://www.facebook.com/marketplace/item/692407420289192/,"2 persons only. No visitors allowed. No curfew but always lock the gate. Free water, foam for bed, 2 gadegts unli wifi."
House for rent in east balabag valencia,House for Rent,Sibulan,West Boloc-boloc,"9.326920572895519, 123.27639207043995","25,000-30,000",No,N/A,Yes,Yes,Yes,Yes,Yes,Co-ed,N/A,N/A,https://www.facebook.com/marketplace/item/24781166071481216/,"30k per month - fully furnished with stove, fridge, AC, ceiling fan with dim lights, tables & chairs and Sofa. 25k for semi furnished Mattress and sofa not included, other specs above remain."
HOUSE FOR RENT in east balabag valencia,House for Rent,Dumaguete,Calindagan,"9.295283293402345, 123.3003033173419",35000,N/A,N/A,No,N/A,N/A,Yes,Yes,Co-ed,N/A,N/A,https://www.facebook.com/marketplace/item/1616100979032629/,2 BEDROOMS 1 CR LOT AREA ALMOST 1000 SQ. MTRS.
House for Rent in Sibulan,House for Rent,Sibulan,Maslog,"9.34491563058079, 123.29390022231674",18000,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Co-ed,N/A,N/A,https://www.facebook.com/marketplace/item/1245968640351023/,"Corner Unit, Semi-Furnished"
Apartment #1,Apartment,Dumaguete,Daro,"9.319473514168708, 123.2911134321135",20000,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Co-ed,"1 month advance, 1 month deposit",N/A,https://www.facebook.com/marketplace/item/2013330256077396/,"3 bedrooms (2 with air conditioning, all with beds and foam mattress) 2 toilet and bath 1 refrigirator 1 dining set 1 sala set 1 induction cooker"
Room 2,Boarding house,Dumaguete,Pulantubig,"9.323558055423076, 123.29427782162698",5500,No,N/A,Yes,Yes,No,N/A,Yes,Co-ed,"1 month advance, no deposit",N/A,https://www.facebook.com/marketplace/item/1101064015337675/,5500 good for two or three persons. No curfew.
House for rent,House for Rent,Dumaguete,Batinguel,"9.316039873005867, 123.2836135506086",35000,N/A,N/A,Yes,No,Yes,Yes,Yes,Co-ed,"1 month advance, 2 months deposit",N/A,https://www.facebook.com/marketplace/item/1133261065352957/,3 Bedrooms with A/C. 2 Bathrooms.
Mangnao Canal-Rooms for Rent,Boarding house,Dumaguete,Mangnao,"9.31415892601694, 123.30917131550001",4000,No,Yes,No,Yes,No,Yes,Yes,Co-ed,"1 month advance, 1 month deposit",N/A,https://www.facebook.com/marketplace/item/1252328056686802/,Allowed to cook and do laundry. Small pets allowed max of 1. Good for 2 persons. 2 common bathrooms.
Room for Rent,Apartment,Dumaguete,Pulantubig,"9.325051293090407, 123.29083456154554",5000,N/A,N/A,No,Yes,No,Yes,N/A,Co-ed,"1 month advance, no deposit",N/A,https://www.facebook.com/marketplace/item/1314851917040882/,No curfew.
House for Rent in Sibulan,House for Rent,Sibulan,Tubtubon,"9.345309321943738, 123.27844415216089",25000,N/A,N/A,Yes,No,N/A,Yes,Yes,Co-ed,"1 month advance, 2 months deposit",N/A,https://www.facebook.com/marketplace/item/557964350739268/,"4 Bedrooms, 2 Bathrooms."
For Rent - Fully Furnished House,House for Rent,Sibulan,Cangmating,"9.349730568839272, 123.28648038798194",20000,N/A,N/A,No,Yes,Yes,Yes,Yes,Co-ed,N/A,N/A,https://www.facebook.com/100045330438144/posts/pfbid0JGYNccEiZc6AwZcAtyN9K1uVu6W5Vkuq5JpeWHLnmebBFAAJZTK6fT9Kgcaa4cPNl/,3 Bedrooms. 1 Master Bedroom with Queen Size Bed (with AC). 2 Bedrooms with Single Size Bed (1 with AC). 2 Bathrooms.
2 Storey TOWN House for Rent,House for Rent,Sibulan,Cangmating,"9.349730568839272, 123.28648038798194",18000,N/A,No,No,No,Yes,Yes,Yes,Co-ed,"1 month advance, 1 month deposit",12 months,https://www.facebook.com/100048053479252/posts/pfbid02o7y5J6nGP1W8viYXgFnNfsm9gHfdF1cTKpUv6jQXZHPNoXTEV7yQ5qCk9L1bisenl/,3 Airconditioned Bedrooms. 2 Toilet and Bathrooms(downstairs/upstairs). Kitchen with Cabinets. Living and Dining Area.
Division 1 Unit,Bed space,Dumaguete,Upper Motong,"9.316099944405792, 123.29125617893142",3000,Yes,N/A,Yes,Yes,No,Yes,N/A,Female,N/A,N/A,https://www.facebook.com/marketplace/item/4235613223433133/,"Bed With foam, 1 pillow, ceiling fan, lampshade. Free WiFi. Free electric. Free Water. Allowed to cook and do laundry. No curfew."
Bachelors pad,Apartment,Dumaguete,Piapi,"9.32321600486663, 123.30556133972327",6500,No,Yes,Yes,Yes,Yes,N/A,Yes,Co-ed,N/A,N/A,https://www.facebook.com/marketplace/item/1134989678572029/,Separate electric and water meter along hibbard ave.
ROOM FOR RENT,Boarding house,Dumaguete,Daro,"9.31826507423032, 123.29837233580974",6000,N/A,N/A,Yes,Yes,No,N/A,N/A,Female,N/A,N/A,https://www.facebook.com/marketplace/item/1414903429494942/,Allowed to cook and do laundry. Girls only with siblings (girl/boy).
Room for rent - Calindagan (near Rob) 1 person only,Boarding house,Dumaguete,Calindagan,"9.295283293402345, 123.3003033173419",3000,No,No,Yes,Yes,No,N/A,N/A,Female,"No advance, no deposit",N/A,https://www.facebook.com/marketplace/item/1251588012690089/,No curfew. Free electricity and water. May accept visitors to visit only. 
Rooms for Rent,Boarding house,Dumaguete,Taclobo,"9.316206788005454, 123.29124400829078",5000,N/A,N/A,Yes,Yes,No,N/A,N/A,Female,N/A,N/A,https://www.facebook.com/marketplace/item/1740380186864060/,Good for 2 persons. FREE water and Electricity.
Room for Rent,Boarding house,Dumaguete,Daro,"9.315931800763861, 123.30192558608536",8000,N/A,N/A,Yes,Yes,Yes,Yes,N/A,Co-ed,N/A,N/A,https://www.facebook.com/marketplace/item/672234113806627/,Good for 2 persons. Own Bathroom. Free water. No curfew.
Cheap Room for Rent Good for 4 Persons in Banilad Dumaguete City near schools,Boarding house,Dumaguete,Banilad,"9.280651173335459, 123.29112036931785",7000,N/A,N/A,Yes,No,No,Yes,Yes,Co-ed,N/A,N/A,https://www.facebook.com/marketplace/item/8967678120013681/,Private electric & water meters. Backyard sink/wash area.
Small Room for Rent,Boarding house,Sibulan,Boloc-boloc,"9.33225038527047, 123.29416125865735",4000,Yes,N/A,Yes,Yes,Yes,N/A,N/A,Co-ed,"1 month advance, 2 months deposit",6-12 months,https://www.facebook.com/marketplace/item/555046027457032/,1. Work from home not allowed 2. Cooking inside the room strictly prohibited 3.No contract but be  not below 6 months stay 4. Aircon cleaning be made every three months and shoulder to the tenant. 5. Liquor and cigarettes strictly not allowed. 6 None boarder strictly not allowed to enter the premises. 7. No any business transactions from 5pm Friday up to 6pm Saturday.
